id,name,address,latitude,longitude,category,tags,description,distance_from_jiyugaoka_station_m,walk_minutes_from_jiyugaoka_station
curated-amber,amber,東京都世田谷区奥沢5-42-3 トレインチ自由が丘 2F,35.6065625,139.6668125,coffee_shop,study|spacious|specialty|quiet|atmosphere|cozy,スペシャルティコーヒー店です。店内で作業している人も多く、隣棟の SHARE LOUNGE を時間利用できる点も含めて仕事や長居できます。,220,3
curated-onnibus,ONIBUS COFFEE 自由が丘店,東京都目黒区緑が丘2-24-8 arbre自由が丘,35.6085625,139.6718125,coffee_shop,quiet|study|specialty|morning,店内も広い自由が丘駅近のスペシャルティ系カフェです。,290,4
curated-compass-kuhonbutsu,コンパスコーヒー 九品仏店,東京都世田谷区奥沢6-13-7,35.6044375,139.6613125,both,roastery|specialty|quiet|cozy,九品仏駅近くで豆選びと店内利用の両方に寄せやすい、ロースト志向のコーヒー店です。,767,10
curated-aranciato,Cafe Aranciato,東京都世田谷区奥沢4-27-16,35.6031875,139.6718125,both,quiet|cozy|roastery|specialty,奥沢側で落ち着いて過ごしやすく、コーヒー豆販売にも寄せられるロースターカフェです。,577,8
curated-chanoko,CHANOKO COFFEE ROASTERY,東京都世田谷区奥沢2-12-6 平井ビル1F,35.6055625,139.6715625,both,roastery|specialty|quiet|cozy,奥沢神社近くの小さなロースタリーカフェです。豆販売もあり、一人で静かに過ごしたいときにもおすすめ。,351,5
curated-ueshima-okusawa,上島珈琲店 奥沢店,東京都世田谷区奥沢2-12-10 自由が丘サウスヒルズ,35.6058125,139.6715625,coffee_shop,study|spacious|cozy|morning,奥沢2丁目で席数があり、作業や勉強の受け皿として使いやすい定番カフェです。,332,5
curated-starbucks-okusawa-2,スターバックス コーヒー 奥沢2丁目店,東京都世田谷区奥沢2丁目38-9,35.607391,139.6712092,coffee_shop,study|spacious|atmosphere|specialty,チェーン店ながら価格帯がやや上で、木材を多用したリラックスでモダンな空間が特徴の奥沢側候補です。,218,3
curated-sunset,Sunset Coffee Jiyugaoka,東京都目黒区自由が丘1-26-14 オクミズビル1F,35.6093125,139.6684375,coffee_stand,coffee_stand|roastery|specialty|morning|atmosphere,自由が丘駅近の小さなコーヒースタンドで、短時間の一杯やテイクアウトにおすすめです。,177,3
curated-alpha-beta,アルファ・ベータ・コーヒー・クラブ 自由が丘駅前店,東京都目黒区自由が丘2-10-4 ミルシェ自由が丘 3F,35.6081875,139.6680625,coffee_shop,study|specialty|atmosphere|quiet,自由が丘駅すぐ。PC を開いて作業している人も多い、作業利用にもおすすめでコーヒーもおいしい。,80,1
curated-kissa20,喫茶二十世紀,東京都目黒区自由が丘2-16-19,35.6090625,139.6658125,coffee_shop,quiet|cozy|atmosphere|sweet,喫茶店寄りの落ち着いた時間を取りたいときに向く候補です。,304,4
